timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
37193.660,-20.020,-25.391,-31.250,-21.484,0.000,0
37193.664,-30.762,-25.391,-27.832,-30.762,0.000,0
37193.668,-27.832,-28.320,-28.809,-29.297,0.000,0
37193.672,-23.438,-30.273,-27.344,-22.949,0.000,0
37193.676,-29.785,-30.273,-23.438,-26.855,0.000,0
37193.680,-34.180,-26.855,-26.855,-21.484,0.000,0
37193.684,-34.180,-32.715,-29.297,-21.484,0.000,0
37193.687,-28.320,-37.109,-22.949,-25.879,0.000,0
37193.691,-29.297,-23.926,-18.555,-22.949,0.000,0
37193.695,-29.297,-24.414,-28.809,-31.250,0.000,0
37193.699,-27.344,-22.949,-25.879,-37.598,0.000,0
37193.703,-29.785,-22.949,-14.160,-33.203,0.000,0
37193.707,-35.156,-25.879,-23.438,-28.320,0.000,0
37193.711,-40.527,-29.785,-31.738,-39.551,0.000,0
37193.715,-37.598,-32.715,-35.156,-31.250,0.000,0
37193.719,-29.297,-26.855,-32.715,-8.301,0.000,0
37193.723,-24.902,-30.762,-30.273,-19.043,0.000,0
37193.726,-32.715,-35.645,-32.715,-41.992,0.000,0
37193.730,-36.133,-38.086,-32.715,-27.832,0.000,0
37193.734,-26.855,-32.227,-24.414,-13.672,0.000,0
37193.738,-26.855,-26.367,-27.344,-14.648,0.000,0
37193.742,-26.855,-28.809,-28.320,-13.672,0.000,0
37193.746,-20.020,-32.227,-20.996,-21.973,0.000,0
37193.750,-25.879,-29.785,-27.344,-31.738,0.000,0
37193.754,-26.855,-29.297,-35.156,-23.438,0.000,0
37193.758,-20.996,-27.344,-27.832,-10.254,0.000,0
37193.762,-28.809,-27.344,-21.973,-14.648,0.000,0
37193.766,-31.738,-29.785,-23.438,-22.461,0.000,0
37193.769,-28.320,-31.738,-31.738,-33.203,0.000,0
37193.773,-25.391,-28.809,-31.250,-28.809,0.000,0
37193.777,-18.066,-25.391,-18.066,-16.113,0.000,0
37193.781,-18.066,-29.297,-13.184,-16.113,0.000,0
37193.785,-17.090,-35.156,-19.531,-18.555,0.000,0
37193.789,-13.672,-31.738,-18.555,-19.531,0.000,0
37193.793,-21.484,-25.879,-17.578,-18.066,0.000,0
37193.797,-24.414,-27.832,-22.461,-18.555,0.000,0
37193.801,-19.043,-24.902,-22.461,-23.438,0.000,0
37193.805,-20.996,-27.344,-18.066,-23.438,0.000,0
37193.809,-20.996,-26.855,-16.602,-19.043,0.000,0
37193.812,-23.926,-31.738,-24.414,-30.273,0.000,0
37193.816,-25.391,-30.273,-32.715,-27.344,0.000,0
37193.820,-12.695,-17.578,-23.438,-1.465,0.000,0
37193.824,-4.883,-14.648,-16.602,13.184,0.000,0
37193.828,-18.066,-18.066,-28.809,-6.836,0.000,0
37193.832,-20.508,-20.020,-28.809,-22.461,0.000,0
37193.836,-20.996,-22.461,-25.879,-18.066,0.000,0
37193.840,-31.738,-27.832,-24.902,-24.414,0.000,0
37193.844,-28.809,-26.855,-23.438,-41.016,0.000,0
37193.848,-27.832,-29.785,-23.926,-37.598,0.000,0
37193.851,-33.691,-30.273,-15.625,-30.762,0.000,0
37193.855,-35.645,-25.879,-14.648,-26.855,0.000,0
37193.859,-37.598,-31.250,-18.066,-26.855,0.000,0
37193.863,-42.480,-40.527,-13.672,-37.598,0.000,0
37193.867,-38.086,-34.180,-15.137,-25.879,0.000,0
37193.871,-39.062,-22.949,-21.484,-21.484,0.000,0
37193.875,-28.809,-20.020,-23.438,-22.461,0.000,0
37193.879,-15.625,-31.250,-18.555,-4.395,0.000,0
37193.883,-31.738,-36.133,-13.672,-19.531,0.000,0
37193.887,-38.086,-28.809,-23.438,-39.551,0.000,0
37193.891,-29.297,-32.227,-30.762,-36.621,0.000,0
37193.894,-29.785,-35.156,-29.785,-30.273,0.000,0
37193.898,-26.367,-30.273,-23.438,-28.320,0.000,0
37193.902,-28.809,-32.715,-20.996,-36.621,0.000,0
37193.906,-38.086,-26.855,-28.320,-37.109,0.000,0
37193.910,-40.527,-22.949,-30.762,-30.273,0.000,0
37193.914,-32.715,-23.438,-24.414,-30.762,0.000,0
37193.918,-31.738,-30.762,-24.414,-36.621,0.000,0
37193.922,-30.762,-35.156,-29.297,-39.062,0.000,0
37193.926,-28.320,-31.250,-30.762,-37.598,0.000,0
37193.930,-30.273,-30.273,-20.508,-25.879,0.000,0
37193.934,-31.738,-29.297,-26.367,-22.461,0.000,0
37193.937,-32.715,-29.297,-36.621,-32.227,0.000,0
37193.941,-37.598,-37.109,-32.227,-39.551,0.000,0
37193.945,-41.016,-38.574,-37.109,-40.527,0.000,0
37193.949,-42.969,-43.945,-50.293,-39.551,0.000,0
37193.953,-41.504,-43.457,-44.434,-44.434,0.000,0
37193.957,-32.227,-34.668,-30.273,-38.574,0.000,0
37193.961,-29.785,-26.855,-23.926,-24.414,0.000,0
37193.965,-37.598,-28.809,-31.250,-34.180,0.000,0
37193.969,-41.992,-34.668,-39.551,-44.434,0.000,0
37193.973,-30.762,-26.367,-26.367,-31.738,0.000,0
37193.976,-24.902,-19.531,-20.996,-30.762,0.000,0
37193.980,-23.438,-23.926,-24.414,-37.598,0.000,0
37193.984,-22.461,-17.578,-20.508,-27.344,0.000,0
37193.988,-31.738,-21.973,-23.926,-27.832,0.000,0
