timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
37058.285,-16.602,-27.832,-26.367,-7.812,0.000,0
37058.289,-14.648,-24.902,-27.832,-16.113,0.000,0
37058.293,-17.090,-27.832,-27.832,-22.461,0.000,0
37058.297,-18.555,-30.762,-20.996,-21.973,0.000,0
37058.301,-20.996,-31.250,-21.484,-16.602,0.000,0
37058.305,-21.484,-25.879,-18.555,-8.301,0.000,0
37058.309,-17.090,-27.344,-22.949,-12.207,0.000,0
37058.312,-21.973,-27.344,-30.273,-26.855,0.000,0
37058.316,-20.020,-24.414,-18.066,-29.297,0.000,0
37058.320,-9.277,-16.113,-5.859,-17.090,0.000,0
37058.324,-15.625,-20.996,-20.020,-16.113,0.000,0
37058.328,-15.137,-30.762,-30.273,-18.555,0.000,0
37058.332,-7.324,-20.508,-16.602,-7.812,0.000,0
37058.336,-11.230,-14.648,-12.207,-19.531,0.000,0
37058.340,-10.254,-16.602,-22.949,-32.227,0.000,0
37058.344,-11.719,-17.578,-28.809,-25.879,0.000,0
37058.348,-19.043,-21.484,-29.297,-23.926,0.000,0
37058.351,-15.625,-19.531,-25.879,-16.113,0.000,0
37058.355,-14.160,-12.207,-22.461,-24.414,0.000,0
37058.359,-12.207,-18.555,-28.809,-30.273,0.000,0
37058.363,-10.254,-23.438,-21.484,-16.602,0.000,0
37058.367,-12.207,-25.879,-14.648,-14.648,0.000,0
37058.371,-12.207,-24.414,-25.391,-11.230,0.000,0
37058.375,-11.719,-15.137,-15.137,-5.859,0.000,0
37058.379,-14.160,-14.648,-14.648,-8.789,0.000,0
37058.383,-17.090,-20.508,-22.461,-13.184,0.000,0
37058.387,-17.578,-24.902,-18.555,-16.113,0.000,0
37058.391,-20.508,-23.926,-14.160,-17.090,0.000,0
37058.394,-20.508,-21.484,-7.812,-22.949,0.000,0
37058.398,-14.160,-23.926,-11.719,-18.555,0.000,0
37058.402,-16.113,-21.973,-21.484,-15.625,0.000,0
37058.406,-17.578,-14.160,-22.949,-23.438,0.000,0
37058.410,-19.531,-16.602,-18.066,-20.996,0.000,0
37058.414,-21.484,-24.414,-22.949,-25.879,0.000,0
37058.418,-15.137,-24.902,-24.414,-23.926,0.000,0
37058.422,-11.230,-18.555,-20.020,-10.254,0.000,0
37058.426,-11.230,-24.414,-26.367,-4.883,0.000,0
37058.430,-15.625,-26.367,-22.949,-9.766,0.000,0
37058.434,-21.973,-19.531,-11.719,-22.461,0.000,0
37058.437,-20.020,-25.391,-20.508,-27.832,0.000,0
37058.441,-14.160,-25.391,-28.320,-15.137,0.000,0
37058.445,-15.625,-25.391,-25.879,-3.906,0.000,0
37058.449,-26.367,-32.227,-34.668,-12.207,0.000,0
37058.453,-24.414,-27.344,-23.438,-31.250,0.000,0
37058.457,-19.531,-25.391,-18.555,-27.832,0.000,0
37058.461,-29.785,-30.273,-44.434,-22.461,0.000,0
37058.465,-32.715,-30.762,-41.992,-32.227,0.000,0
37058.469,-24.414,-26.367,-31.738,-23.438,0.000,0
37058.473,-22.949,-24.414,-27.832,-16.602,0.000,0
37058.476,-25.879,-24.414,-27.344,-19.531,0.000,0
37058.480,-28.320,-21.973,-26.367,-19.043,0.000,0
37058.484,-28.320,-16.602,-19.531,-14.648,0.000,0
37058.488,-26.367,-19.043,-20.996,-21.484,0.000,0
37058.492,-27.832,-23.438,-20.020,-27.832,0.000,0
37058.496,-28.320,-21.484,-24.414,-13.184,0.000,0
37058.500,-24.414,-27.832,-25.879,-18.555,0.000,0
37058.504,-18.555,-25.391,-23.926,-14.648,0.000,0
37058.508,-17.090,-23.438,-20.508,-7.812,0.000,0
