timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
159393.471,-15.137,9.277,7.812,7.324,0.000,0
159393.474,-15.625,2.930,7.812,-7.324,0.000,0
159393.478,-15.625,-4.395,6.348,-14.648,0.000,0
159393.482,-15.137,-1.953,5.859,-14.160,0.000,0
159393.486,-18.555,2.441,3.906,-7.324,0.000,0
159393.490,-16.113,3.418,0.488,3.906,0.000,0
159393.494,-12.695,0.000,2.930,-3.418,0.000,0
159393.498,-18.066,-4.395,8.301,-18.066,0.000,0
159393.502,-12.695,-10.742,-15.137,0.488,0.000,0
159393.506,3.906,-11.230,-27.344,2.930,0.000,0
159393.510,-12.695,-8.301,-11.230,-16.602,0.000,0
159393.513,-10.742,-10.742,8.301,-19.043,0.000,0
159393.517,7.324,-5.371,12.207,-15.137,0.000,0
159393.521,-2.930,-5.371,1.465,-7.324,0.000,0
159393.525,-14.160,-10.742,2.441,-10.742,0.000,0
159393.529,-14.648,-7.812,0.977,-11.230,0.000,0
159393.533,-12.695,-10.742,-11.719,-5.371,0.000,0
159393.537,-18.555,-6.836,-7.324,-14.160,0.000,0
159393.541,-12.695,-1.465,-9.766,-7.324,0.000,0
159393.545,-9.277,-9.766,-6.836,0.488,0.000,0
159393.549,-17.090,-9.766,-13.184,-8.789,0.000,0
159393.553,-16.113,-12.695,-11.230,-10.254,0.000,0
159393.556,-8.301,-15.137,-4.395,-9.277,0.000,0
159393.560,-4.395,-7.324,-4.883,-0.488,0.000,0
159393.564,2.930,-8.789,-20.020,15.137,0.000,0
159393.568,13.184,-8.301,-28.320,11.230,0.000,0
159393.572,9.277,-2.930,-1.465,4.883,0.000,0
159393.576,8.301,-7.812,18.066,-11.719,0.000,0
159393.580,7.812,-14.648,-1.465,-12.207,0.000,0
159393.584,4.883,-9.766,-3.906,-9.277,0.000,0
159393.588,-3.906,-8.301,-2.930,-14.648,0.000,0
159393.592,-10.254,-11.719,-14.648,-7.324,0.000,0
159393.596,1.465,-14.160,-9.277,-18.066,0.000,0
159393.599,1.953,-13.672,-16.602,-14.160,0.000,0
159393.603,-11.230,-12.695,-21.973,0.488,0.000,0
159393.607,-10.742,-12.695,-20.996,-5.859,0.000,0
159393.611,-9.277,-16.113,-20.020,-15.137,0.000,0
159393.615,-11.230,-13.672,-4.883,-16.113,0.000,0
159393.619,-18.066,-5.859,-13.672,-16.602,0.000,0
159393.623,-35.156,-8.301,-21.484,-20.996,0.000,0
159393.627,-24.902,-12.207,-22.949,-15.137,0.000,0
159393.631,-18.555,-16.602,-27.832,-14.648,0.000,0
159393.635,-37.109,-20.996,-6.836,-33.691,0.000,0
159393.638,-28.320,-21.484,-27.832,-38.574,0.000,0
159393.642,-19.043,-15.625,-46.875,-15.625,0.000,0
159393.646,-23.438,-15.625,-40.527,-12.207,0.000,0
159393.650,-27.832,-21.973,-31.250,-25.391,0.000,0
159393.654,-29.297,-15.137,-24.414,-27.344,0.000,0
159393.658,-19.531,-14.648,-41.992,-28.320,0.000,0
159393.662,-19.043,-20.996,-35.156,-29.297,0.000,0
159393.666,-14.648,-19.531,-36.621,-14.160,0.000,0
159393.670,-9.277,-20.508,-27.344,-25.391,0.000,0
159393.674,-24.902,-19.531,-4.883,-36.621,0.000,0
159393.678,-39.062,-19.531,-20.996,0.488,0.000,0
159393.681,-33.203,-22.949,-29.297,-0.977,0.000,0
159393.685,-27.832,-14.648,-34.668,-27.344,0.000,0
159393.689,-30.273,-15.137,-16.113,-32.227,0.000,0
159393.693,-42.969,-26.367,1.465,-41.504,0.000,0
159393.697,-38.574,-21.484,-26.855,-30.762,0.000,0
159393.701,-25.391,-20.508,-31.738,-20.508,0.000,0
159393.705,-16.113,-22.949,-18.555,-12.695,0.000,0
159393.709,-14.160,-16.113,-11.719,-17.090,0.000,0
159393.713,-20.508,-23.438,-23.438,-23.438,0.000,0
159393.717,-19.531,-29.785,-36.621,-6.348,0.000,0
159393.721,-16.113,-22.461,-19.043,-7.812,0.000,0
159393.724,-23.438,-22.949,-3.906,-18.066,0.000,0
159393.728,-22.461,-27.832,-24.414,-15.625,0.000,0
159393.732,-15.625,-31.738,-30.273,-21.973,0.000,0
159393.736,-20.996,-27.344,-5.859,-33.203,0.000,0
159393.740,-24.902,-23.438,-10.742,-29.785,0.000,0
159393.744,-26.367,-27.344,-27.832,-24.414,0.000,0
159393.748,-28.320,-29.785,-25.391,-19.043,0.000,0
159393.752,-32.715,-28.809,-2.441,-36.621,0.000,0
159393.756,-25.391,-28.320,-10.742,-36.621,0.000,0
159393.760,-16.602,-28.320,-45.898,-19.043,0.000,0
159393.763,-18.066,-29.297,-37.598,-16.602,0.000,0
159393.767,-23.438,-28.809,-22.949,-10.254,0.000,0
159393.771,-24.902,-27.832,-8.301,-16.113,0.000,0
159393.775,-35.645,-25.879,-12.695,-21.484,0.000,0
159393.779,-39.062,-29.297,-27.832,-12.207,0.000,0
159393.783,-31.250,-33.203,-21.973,-13.672,0.000,0
159393.787,-31.738,-29.785,-26.855,-32.227,0.000,0
159393.791,-33.691,-24.414,-22.461,-45.898,0.000,0
159393.795,-37.598,-25.391,-26.855,-36.133,0.000,0
159393.799,-36.133,-30.762,-41.016,-23.926,0.000,0
159393.803,-22.949,-26.855,-37.109,-24.414,0.000,0
159393.806,-35.156,-20.996,-37.109,-21.484,0.000,0
159393.810,-40.039,-20.996,-25.879,-31.250,0.000,0
159393.814,-21.484,-24.902,-29.297,-26.855,0.000,0
159393.818,-9.766,-25.391,-36.133,-7.324,0.000,0
159393.822,-5.371,-24.414,-37.598,-10.742,0.000,0
159393.826,-9.277,-27.344,-25.879,-24.414,0.000,0
159393.830,-3.906,-21.484,-13.184,-30.762,0.000,0
159393.834,5.859,-17.578,-30.762,-20.996,0.000,0
159393.838,-3.906,-26.855,-28.809,-15.137,0.000,0
159393.842,-9.766,-26.855,-30.762,-13.672,0.000,0
159393.846,-4.395,-20.508,-39.062,-17.090,0.000,0
159393.849,-6.348,-27.344,-31.738,-28.320,0.000,0
159393.853,-13.672,-26.367,-20.996,-29.785,0.000,0
159393.857,-16.113,-24.902,-26.367,-32.227,0.000,0
159393.861,-17.578,-23.926,-39.062,-15.137,0.000,0
159393.865,-23.438,-23.438,-37.598,-14.648,0.000,0
159393.869,-16.113,-25.879,-24.902,-28.320,0.000,0
159393.873,-12.207,-22.461,-4.883,-23.438,0.000,0
159393.877,-2.930,-12.207,-17.090,-24.414,0.000,0
159393.881,-9.766,-12.695,-37.598,-19.043,0.000,0
159393.885,-26.855,-18.066,-32.715,-7.324,0.000,0
159393.888,-14.648,-18.066,-11.230,-20.996,0.000,0
159393.892,-8.789,-15.137,-16.113,-23.438,0.000,0
159393.896,-9.277,-10.742,-32.227,-10.742,0.000,0
159393.900,-12.207,-11.719,-20.996,-4.883,0.000,0
159393.904,-19.043,-15.137,-23.438,-21.484,0.000,0
159393.908,-18.555,-9.766,-18.066,-45.898,0.000,0
159393.912,-18.066,-6.348,-10.742,-45.410,0.000,0
159393.916,-23.926,-12.207,-21.973,-30.273,0.000,0
159393.920,-19.531,-15.625,-34.668,-21.484,0.000,0
159393.924,-20.508,-14.648,-41.992,-22.461,0.000,0
159393.928,-26.855,-15.137,-16.113,-45.410,0.000,0
159393.931,-22.461,-14.160,-15.625,-50.781,0.000,0
159393.935,-20.020,-15.137,-34.180,-24.902,0.000,0
159393.939,-20.020,-13.184,-29.785,-26.855,0.000,0
159393.943,-25.391,-5.371,-32.715,-29.297,0.000,0
159393.947,-27.344,-8.301,-24.902,-32.715,0.000,0
159393.951,-29.785,-12.207,-20.508,-40.527,0.000,0
159393.955,-29.785,-8.301,-32.227,-31.738,0.000,0
159393.959,-30.273,-3.418,-26.367,-26.855,0.000,0
159393.963,-19.531,0.488,-21.484,-15.137,0.000,0
159393.967,-5.859,-5.859,-22.949,-18.555,0.000,0
159393.971,-16.113,-13.184,-16.602,-31.738,0.000,0
159393.974,-27.344,-8.789,-17.578,-26.855,0.000,0
159393.978,-22.461,-4.883,-23.438,-22.949,0.000,0
159393.982,-25.391,-11.719,-38.086,-12.695,0.000,0
159393.986,-30.762,-14.160,-30.273,-15.137,0.000,0
159393.990,-28.809,-13.672,-11.230,-36.133,0.000,0
159393.994,-20.996,-15.625,-26.855,-24.902,0.000,0
159393.998,-8.789,-21.484,-43.945,-0.488,0.000,0
159394.002,-12.207,-17.578,-34.180,0.977,0.000,0
159394.006,-24.414,-21.973,-12.695,-17.090,0.000,0
159394.010,-41.016,-34.668,-23.438,-50.293,0.000,0
159394.013,-51.758,-27.832,-43.945,-60.059,0.000,0
159394.017,-47.852,-29.297,-42.480,-49.316,0.000,0
159394.021,-40.039,-35.645,-34.668,-41.992,0.000,0
159394.025,-39.551,-34.668,-22.461,-41.016,0.000,0
159394.029,-37.109,-32.227,-19.531,-36.621,0.000,0
159394.033,-30.762,-36.621,-37.109,-19.531,0.000,0
159394.037,-22.949,-38.086,-38.574,-11.719,0.000,0
159394.041,-22.949,-29.785,-32.227,-21.484,0.000,0
159394.045,-28.809,-24.902,-32.715,-30.762,0.000,0
159394.049,-26.367,-27.344,-26.855,-30.762,0.000,0
159394.053,-21.973,-32.227,-26.367,-36.133,0.000,0
159394.056,-18.555,-33.203,-44.922,-34.668,0.000,0
159394.060,-21.484,-31.738,-57.617,-26.855,0.000,0
159394.064,-31.250,-35.156,-39.551,-30.273,0.000,0
159394.068,-29.785,-31.738,-26.367,-24.414,0.000,0
159394.072,-25.391,-25.879,-40.527,-10.254,0.000,0
159394.076,-26.367,-26.367,-42.969,-16.602,0.000,0
159394.080,-31.250,-25.391,-29.297,-23.926,0.000,0
159394.084,-27.344,-25.391,-32.715,-12.695,0.000,0
159394.088,-20.020,-25.879,-32.227,-31.250,0.000,0
159394.092,-30.762,-28.320,-33.203,-38.086,0.000,0
159394.096,-30.273,-30.762,-47.852,-13.672,0.000,0
159394.099,-39.551,-29.785,-52.734,-22.461,0.000,0
159394.103,-41.504,-26.367,-56.152,-41.016,0.000,0
159394.107,-34.180,-30.762,-47.852,-41.504,0.000,0
159394.111,-38.574,-31.250,-23.926,-36.621,0.000,0
159394.115,-30.762,-30.762,-26.855,-32.715,0.000,0
159394.119,-15.625,-32.227,-42.969,-27.344,0.000,0
159394.123,-18.066,-22.461,-26.367,-11.719,0.000,0
159394.127,-25.391,-20.996,-16.113,-19.043,0.000,0
159394.131,-15.137,-22.949,-34.180,-21.484,0.000,0
159394.135,-3.906,-20.996,-54.199,-11.230,0.000,0
159394.138,-6.836,-22.949,-40.527,-13.184,0.000,0
159394.142,-14.160,-19.531,-20.020,-12.207,0.000,0
159394.146,-24.414,-18.066,-19.531,-17.090,0.000,0
159394.150,-29.785,-22.949,-29.297,-33.691,0.000,0
159394.154,-23.926,-19.043,-22.949,-27.832,0.000,0
159394.158,-21.973,-20.020,-30.762,-7.324,0.000,0
159394.162,-25.879,-24.902,-41.504,-10.742,0.000,0
159394.166,-29.785,-24.414,-19.531,-34.180,0.000,0
159394.170,-22.461,-22.461,-30.273,-28.809,0.000,0
159394.174,-25.391,-23.438,-41.992,-22.461,0.000,0
159394.178,-19.531,-21.484,-33.691,-14.160,0.000,0
159394.181,-12.695,-25.391,-25.879,-9.277,0.000,0
159394.185,-23.926,-25.391,-13.672,-27.344,0.000,0
159394.189,-20.020,-22.949,-20.508,-24.414,0.000,0
159394.193,-21.484,-24.902,-29.785,-17.578,0.000,0
159394.197,-26.855,-24.902,-39.551,-13.184,0.000,0
159394.201,-24.414,-26.855,-25.391,-19.043,0.000,0
159394.205,-13.672,-26.855,-24.414,-26.855,0.000,0
159394.209,-6.836,-20.508,-46.387,-4.883,0.000,0
159394.213,1.953,-18.066,-51.758,10.254,0.000,0
159394.217,-8.301,-20.996,-36.133,-11.230,0.000,0
159394.221,-25.391,-16.113,-16.602,-32.715,0.000,0
159394.224,-27.344,-19.043,-13.184,-37.598,0.000,0
159394.228,-28.320,-17.578,-25.879,-28.320,0.000,0
159394.232,-29.785,-17.578,-31.250,-11.230,0.000,0
159394.236,-32.715,-21.484,-37.109,-9.277,0.000,0
159394.240,-37.109,-18.066,-27.832,-21.973,0.000,0
159394.244,-44.434,-19.043,-10.254,-42.969,0.000,0
159394.248,-22.949,-23.438,-30.273,-43.945,0.000,0
159394.252,-8.301,-19.531,-36.621,-24.414,0.000,0
159394.256,-13.184,-15.625,-18.555,-8.301,0.000,0
159394.260,-20.508,-17.578,-13.184,-1.465,0.000,0
159394.263,-32.227,-22.949,-15.625,-19.531,0.000,0
159394.267,-33.691,-24.414,-14.160,-35.645,0.000,0
159394.271,-28.809,-20.020,-8.301,-28.809,0.000,0
159394.275,-33.691,-22.461,-21.973,-11.719,0.000,0
159394.279,-33.691,-30.762,-28.320,-20.020,0.000,0
159394.283,-24.902,-29.785,-10.742,-39.551,0.000,0
159394.287,-24.902,-27.344,-6.348,-39.551,0.000,0
159394.291,-35.645,-26.855,-2.930,-40.039,0.000,0
159394.295,-28.809,-27.344,-14.648,-31.250,0.000,0
159394.299,-16.113,-27.344,-22.949,-18.555,0.000,0
159394.303,-28.809,-34.668,0.488,-42.480,0.000,0
159394.306,-26.855,-30.273,-3.906,-32.715,0.000,0
159394.310,-11.719,-29.297,-20.508,-16.602,0.000,0
159394.314,-15.625,-33.691,-24.902,-26.855,0.000,0
159394.318,-17.578,-31.250,-16.113,-19.043,0.000,0
159394.322,-11.230,-30.762,0.000,-22.461,0.000,0
159394.326,-20.020,-31.738,-17.578,-32.227,0.000,0
159394.330,-31.250,-31.738,-40.527,-35.156,0.000,0
159394.334,-39.062,-33.203,-28.809,-19.043,0.000,0
159394.338,-27.344,-32.715,-25.391,-8.301,0.000,0
159394.342,-15.137,-31.738,-25.391,-24.414,0.000,0
159394.346,-22.461,-33.691,-34.668,-24.902,0.000,0
159394.349,-27.344,-35.645,-33.203,-19.043,0.000,0
159394.353,-28.320,-31.738,-24.414,-26.855,0.000,0
159394.357,-14.648,-29.785,-21.973,-1.465,0.000,0
159394.361,-14.160,-29.785,-7.812,-12.207,0.000,0
159394.365,-18.066,-23.438,-14.160,-36.621,0.000,0
159394.369,-7.812,-24.902,-20.020,-28.320,0.000,0
159394.373,-11.230,-27.832,-19.043,-32.715,0.000,0
159394.377,-15.137,-29.297,-43.945,-27.832,0.000,0
159394.381,-19.531,-27.344,-30.273,-25.391,0.000,0
159394.385,-23.926,-24.902,-20.020,-18.555,0.000,0
159394.388,-20.508,-26.855,-36.621,-16.602,0.000,0
159394.392,-21.973,-25.391,-24.902,-10.742,0.000,0
159394.396,-21.973,-29.785,-20.020,-17.090,0.000,0
159394.400,-23.926,-33.691,-31.250,-41.504,0.000,0
159394.404,-23.438,-27.344,-24.902,-41.016,0.000,0
159394.408,-22.461,-28.320,-32.715,-20.020,0.000,0
159394.412,-23.438,-29.297,-44.434,-21.484,0.000,0
159394.416,-17.578,-23.438,-34.180,-25.879,0.000,0
159394.420,-14.160,-23.926,-23.926,-22.949,0.000,0
159394.424,-5.859,-25.391,-30.762,-24.414,0.000,0
