timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
38427.249,-29.785,-9.277,-31.250,-24.414,0.000,0
38427.253,-19.531,-7.812,-34.180,-18.555,0.000,0
38427.257,-24.414,-19.043,-34.180,-26.367,0.000,0
38427.261,-48.828,-23.438,-29.297,-39.062,0.000,0
38427.265,-54.199,-14.160,-30.762,-29.785,0.000,0
38427.269,-40.039,-31.738,-36.621,-27.344,0.000,0
38427.272,-35.156,-34.668,-40.527,-31.738,0.000,0
38427.276,-39.062,1.953,-47.852,-38.086,0.000,0
38427.280,-36.133,0.977,-36.133,-39.551,0.000,0
38427.284,-32.715,-32.715,-21.973,-24.414,0.000,0
38427.288,-32.227,-4.883,-14.648,-22.461,0.000,0
38427.292,-34.668,18.555,-18.066,-30.273,0.000,0
38427.296,-29.785,24.414,-35.156,-28.809,0.000,0
38427.300,-21.973,19.531,-40.527,-28.809,0.000,0
38427.304,-28.809,10.254,-28.809,-23.926,0.000,0
38427.308,-28.320,-1.953,-15.137,-24.902,0.000,0
38427.312,-20.996,-11.719,-15.137,-28.320,0.000,0
38427.315,-23.438,-7.324,-18.555,-23.438,0.000,0
38427.319,-23.926,-3.418,-15.137,-3.418,0.000,0
38427.323,-21.484,4.883,-27.344,0.977,0.000,0
38427.327,-23.438,-20.020,-28.809,-9.277,0.000,0
38427.331,-15.625,-52.246,-14.648,-12.695,0.000,0
38427.335,-4.395,-31.250,-20.996,-8.789,0.000,0
38427.339,-11.719,-41.016,-15.137,-15.137,0.000,0
38427.343,-4.883,-33.691,-12.207,-6.836,0.000,0
38427.347,-3.418,-11.230,-8.301,3.906,0.000,0
38427.351,-7.812,-19.531,-9.766,-4.395,0.000,0
38427.355,-5.371,-0.488,-19.531,-10.742,0.000,0
38427.358,-15.137,-5.859,-25.879,-10.742,0.000,0
38427.362,-13.184,-24.902,-25.879,-7.324,0.000,0
38427.366,-6.836,-8.789,-17.090,0.488,0.000,0
38427.370,-10.254,-1.465,-12.695,-3.906,0.000,0
38427.374,-2.930,-12.207,-12.695,-12.695,0.000,0
38427.378,11.719,-14.648,-9.766,0.977,0.000,0
38427.382,6.348,0.488,-8.789,-1.465,0.000,0
38427.386,-8.301,-13.672,-11.719,-11.719,0.000,0
38427.390,-12.695,-31.250,-16.113,-6.348,0.000,0
38427.394,-8.789,-7.812,-23.438,3.418,0.000,0
38427.397,1.953,6.836,-24.414,11.230,0.000,0
38427.401,8.301,19.531,-20.508,10.742,0.000,0
38427.405,-6.348,14.648,-15.137,-0.488,0.000,0
38427.409,-18.555,4.883,-11.230,-10.742,0.000,0
38427.413,-14.160,22.949,-9.766,-15.137,0.000,0
38427.417,-15.137,19.531,-16.113,-3.418,0.000,0
38427.421,-21.484,6.836,-17.578,-2.441,0.000,0
38427.425,-12.695,5.859,-19.043,-20.508,0.000,0
38427.429,-26.367,-8.301,-12.695,-20.020,0.000,0
38427.433,-43.457,3.418,-18.555,-17.090,0.000,0
38427.437,-28.809,7.324,-40.039,-8.789,0.000,0
38427.440,-26.855,-11.230,-31.250,-11.230,0.000,0
38427.444,-29.297,-6.836,-23.438,-10.254,0.000,0
38427.448,-36.621,-19.531,-34.668,-20.020,0.000,0
38427.452,-25.391,-13.184,-25.879,-19.531,0.000,0
38427.456,-25.879,-10.254,-29.297,-22.461,0.000,0
38427.460,-32.227,-12.695,-44.922,-24.414,0.000,0
38427.464,-26.367,-23.926,-37.598,-16.113,0.000,0
38427.468,-32.715,-66.895,-23.438,-25.879,0.000,0
38427.472,-33.691,-34.180,-34.180,-25.391,0.000,0
38427.476,-24.414,5.371,-43.945,-15.625,0.000,0
38427.480,-25.879,-14.160,-41.504,-9.766,0.000,0
38427.483,-23.438,-30.762,-37.109,-16.602,0.000,0
38427.487,-16.602,-41.504,-23.438,-31.738,0.000,0
38427.491,-24.414,-29.785,-26.367,-32.227,0.000,0
38427.495,-21.973,-19.531,-36.133,-26.855,0.000,0
38427.499,-20.996,-12.695,-35.645,-23.926,0.000,0
38427.503,-26.367,-14.160,-35.156,-20.020,0.000,0
38427.507,-29.297,-33.691,-27.344,-22.949,0.000,0
38427.511,-26.367,-31.738,-25.879,-9.766,0.000,0
38427.515,-27.344,-19.043,-27.344,-11.230,0.000,0
38427.519,-27.832,-30.273,-34.668,-25.879,0.000,0
38427.522,-29.297,-40.039,-40.039,-22.461,0.000,0
38427.526,-30.273,-43.457,-30.762,-23.926,0.000,0
38427.530,-29.785,-42.969,-33.691,-38.574,0.000,0
38427.534,-27.344,-19.531,-44.434,-43.457,0.000,0
38427.538,-31.250,-14.160,-35.156,-33.691,0.000,0
38427.542,-32.227,-37.598,-29.297,-24.902,0.000,0
38427.546,-37.598,-45.898,-33.691,-23.438,0.000,0
38427.550,-29.297,-37.598,-34.180,-12.207,0.000,0
38427.554,-25.391,-41.504,-31.250,-7.812,0.000,0
38427.558,-29.297,-39.551,-32.227,-20.020,0.000,0
38427.562,-17.578,-21.484,-31.250,-27.344,0.000,0
38427.565,-3.418,-34.668,-29.785,-24.902,0.000,0
38427.569,0.977,-35.156,-33.203,-19.531,0.000,0
38427.573,-16.113,-28.320,-30.273,-16.602,0.000,0
38427.577,-15.625,-43.457,-41.016,-23.926,0.000,0
38427.581,-14.648,-49.316,-43.945,-28.320,0.000,0
38427.585,-12.695,-56.641,-31.250,-14.648,0.000,0
38427.589,-20.996,-52.734,-32.227,-13.184,0.000,0
38427.593,-28.320,-30.273,-41.504,-24.414,0.000,0
38427.597,-16.602,-40.527,-35.645,-24.414,0.000,0
38427.601,-31.250,-55.176,-26.367,-9.277,0.000,0
38427.605,-33.691,-53.711,-25.879,-11.719,0.000,0
38427.608,-23.926,-37.109,-21.484,-29.785,0.000,0
38427.612,-14.160,-18.066,-28.320,-23.438,0.000,0
38427.616,-12.207,-19.531,-36.621,-15.137,0.000,0
38427.620,-21.973,-13.672,-38.574,-17.090,0.000,0
38427.624,-29.297,-16.602,-44.434,-20.996,0.000,0
38427.628,-29.297,-18.066,-38.086,-14.160,0.000,0
38427.632,-16.113,-5.371,-31.250,-6.836,0.000,0
38427.636,-28.320,-2.930,-33.691,-17.090,0.000,0
38427.640,-38.086,-2.930,-37.598,-14.160,0.000,0
38427.644,-26.855,-7.324,-35.645,-1.465,0.000,0
38427.647,-25.391,-8.301,-21.484,-9.277,0.000,0
38427.651,-16.113,-0.488,-22.461,-17.578,0.000,0
38427.655,-16.113,5.859,-40.039,-10.254,0.000,0
38427.659,-15.137,0.977,-28.809,-5.859,0.000,0
38427.663,-3.906,-20.020,-10.742,-4.883,0.000,0
38427.667,-7.812,-21.484,-11.230,-12.207,0.000,0
38427.671,-17.090,-17.578,-21.484,-11.719,0.000,0
38427.675,-18.066,-29.297,-23.438,-9.766,0.000,0
38427.679,-19.043,-30.762,-23.926,-4.883,0.000,0
38427.683,-23.926,-32.715,-27.832,-3.418,0.000,0
38427.687,-16.113,-34.668,-28.320,-19.043,0.000,0
38427.690,-19.043,-12.207,-17.578,-13.184,0.000,0
38427.694,-25.391,-0.488,-28.809,-11.719,0.000,0
38427.698,-12.207,-3.418,-45.410,-6.348,0.000,0
38427.702,-18.555,-33.203,-35.156,-16.113,0.000,0
38427.706,-24.414,-63.965,-26.367,-24.414,0.000,0
38427.710,-26.855,-35.156,-31.738,-23.926,0.000,0
38427.714,-31.738,-25.391,-24.902,-24.414,0.000,0
38427.718,-14.160,-38.086,-24.414,-9.766,0.000,0
38427.722,-16.602,-63.965,-33.691,-15.625,0.000,0
38427.726,-20.508,-75.684,-33.691,-26.855,0.000,0
38427.730,-20.020,-35.156,-38.574,-18.066,0.000,0
38427.733,-23.926,-30.273,-45.410,-16.602,0.000,0
38427.737,-16.113,-37.598,-36.133,-12.207,0.000,0
38427.741,-19.043,-33.691,-30.273,-12.695,0.000,0
38427.745,-31.738,-33.203,-39.551,-21.973,0.000,0
38427.749,-33.691,-28.809,-40.527,-21.973,0.000,0
38427.753,-31.250,-54.688,-31.738,-26.367,0.000,0
38427.757,-27.832,-22.949,-34.668,-29.785,0.000,0
38427.761,-26.367,-7.812,-42.480,-31.250,0.000,0
38427.765,-27.832,-58.594,-26.855,-33.203,0.000,0
38427.769,-42.480,-36.133,-21.484,-21.973,0.000,0
38427.772,-37.598,-6.836,-32.227,-15.625,0.000,0
38427.776,-23.926,-29.297,-30.273,-11.719,0.000,0
38427.780,-13.184,-64.453,-23.926,-0.488,0.000,0
38427.784,-21.973,-73.242,-20.020,-2.441,0.000,0
38427.788,-25.879,-49.805,-17.090,8.789,0.000,0
38427.792,-2.930,-38.574,-14.648,9.766,0.000,0
38427.796,-16.602,-61.035,-5.859,-12.207,0.000,0
38427.800,-23.438,-59.570,-9.766,-9.766,0.000,0
38427.804,-6.348,-60.059,-9.277,-0.488,0.000,0
38427.808,-5.859,-39.551,-17.578,-5.859,0.000,0
38427.812,-14.648,-34.668,-20.020,-4.883,0.000,0
38427.815,-1.465,-35.645,-14.648,8.301,0.000,0
38427.819,-5.859,-37.598,-16.602,7.324,0.000,0
38427.823,-26.367,-69.336,-14.648,-10.742,0.000,0
38427.827,-16.602,-56.152,-23.438,-12.695,0.000,0
38427.831,-20.020,-42.969,-33.691,-6.836,0.000,0
38427.835,-31.738,-33.203,-35.645,-13.672,0.000,0
38427.839,-29.785,-41.992,-32.227,-21.484,0.000,0
38427.843,-24.902,-75.684,-27.344,-27.344,0.000,0
38427.847,-24.902,-44.922,-32.227,-30.273,0.000,0
38427.851,-21.484,-25.391,-32.227,-26.855,0.000,0
38427.855,-21.484,-57.129,-30.273,-17.090,0.000,0
38427.858,-25.879,-44.922,-36.621,-8.789,0.000,0
38427.862,-11.719,-31.250,-32.227,-21.973,0.000,0
38427.866,-9.277,-42.969,-31.250,-15.625,0.000,0
38427.870,-16.602,-52.734,-33.691,3.906,0.000,0
38427.874,-6.348,-63.965,-27.344,-0.488,0.000,0
38427.878,-18.066,-58.594,-31.250,-13.184,0.000,0
38427.882,-35.156,-56.641,-24.902,-32.227,0.000,0
38427.886,-18.555,-63.477,-11.719,-28.320,0.000,0
38427.890,-7.324,-55.176,-18.555,-19.531,0.000,0
38427.894,-5.859,-51.758,-20.996,-10.742,0.000,0
38427.897,-6.836,-46.387,-22.461,-12.207,0.000,0
38427.901,-6.836,-49.316,-28.320,-31.738,0.000,0
38427.905,2.930,-30.762,-25.391,-20.508,0.000,0
38427.909,2.441,-11.719,-22.949,-11.230,0.000,0
38427.913,-18.555,-19.043,-19.531,-20.508,0.000,0
38427.917,-18.555,-22.949,-23.438,-14.648,0.000,0
38427.921,-9.766,-25.879,-24.902,-17.578,0.000,0
38427.925,-19.043,-16.602,-17.090,-18.555,0.000,0
38427.929,-13.184,-4.883,-16.602,-11.719,0.000,0
38427.933,-4.883,-15.137,-19.531,-3.418,0.000,0
38427.937,-23.438,-25.391,-33.203,-9.766,0.000,0
38427.940,-19.531,-29.297,-31.250,-16.113,0.000,0
38427.944,2.441,-24.902,-24.902,-15.137,0.000,0
38427.948,-6.836,-10.254,-26.367,-23.438,0.000,0
38427.952,-17.090,9.766,-21.973,-16.113,0.000,0
38427.956,-13.184,-6.836,-18.555,-11.719,0.000,0
38427.960,-20.508,-32.227,-20.508,-14.648,0.000,0
38427.964,-22.949,-9.766,-24.414,-12.207,0.000,0
38427.968,-13.672,-0.977,-14.160,-4.395,0.000,0
38427.972,-11.230,-24.902,-12.695,1.953,0.000,0
38427.976,-18.555,-41.504,-23.926,2.930,0.000,0
38427.980,-22.949,-39.551,-36.621,-18.555,0.000,0
38427.983,-20.020,-41.504,-35.156,-21.484,0.000,0
38427.987,-18.555,-40.039,-23.438,-10.254,0.000,0
38427.991,-20.020,-49.805,-23.438,-18.066,0.000,0
38427.995,-25.879,-52.246,-29.297,-21.973,0.000,0
38427.999,-27.344,-57.129,-30.762,-20.996,0.000,0
38428.003,-26.855,-59.570,-29.297,-26.855,0.000,0
38428.007,-38.086,-47.363,-34.180,-30.273,0.000,0
38428.011,-39.062,-50.781,-38.574,-25.391,0.000,0
38428.015,-20.508,-55.176,-42.969,-15.137,0.000,0
38428.019,-11.230,-71.777,-42.480,-4.883,0.000,0
38428.022,-25.391,-77.148,-37.109,-4.883,0.000,0
38428.026,-17.090,-50.781,-39.551,-17.090,0.000,0
38428.030,-5.859,-49.316,-33.203,-8.789,0.000,0
38428.034,-22.949,-51.270,-27.832,-1.953,0.000,0
38428.038,-21.973,-57.129,-32.227,-20.020,0.000,0
38428.042,-17.578,-66.895,-29.785,-31.738,0.000,0
38428.046,-20.508,-60.059,-28.809,-16.602,0.000,0
38428.050,-23.438,-67.871,-27.832,-10.254,0.000,0
38428.054,-24.414,-61.523,-27.344,-14.160,0.000,0
38428.058,-18.066,-62.988,-17.090,-7.324,0.000,0
38428.062,-8.789,-84.473,-12.695,-15.137,0.000,0
38428.065,-23.438,-50.781,-23.926,-28.320,0.000,0
38428.069,-28.320,-40.527,-28.320,-20.996,0.000,0
38428.073,-6.348,-19.531,-30.273,-19.531,0.000,0
38428.077,-24.902,-20.996,-32.227,-34.180,0.000,0
38428.081,-38.574,-88.867,-25.879,-35.645,0.000,0
38428.085,-20.508,-60.547,-31.738,-30.762,0.000,0
38428.089,-23.926,-37.598,-36.133,-30.762,0.000,0
38428.093,-29.297,-47.852,-37.109,-29.785,0.000,0
38428.097,-25.879,-49.316,-37.109,-26.855,0.000,0
38428.101,-24.902,-64.941,-32.715,-24.902,0.000,0
38428.105,-29.297,-49.316,-36.133,-22.949,0.000,0
38428.108,-23.926,-53.711,-43.457,-20.020,0.000,0
38428.112,-18.555,-54.688,-44.922,-16.602,0.000,0
38428.116,-28.809,-22.461,-39.551,-19.043,0.000,0
38428.120,-49.805,-39.062,-40.527,-31.738,0.000,0
38428.124,-42.969,-44.922,-45.410,-22.949,0.000,0
38428.128,-26.855,-28.320,-42.480,-17.090,0.000,0
38428.132,-40.527,-23.438,-47.852,-27.832,0.000,0
38428.136,-39.551,-29.297,-49.316,-37.598,0.000,0
38428.140,-34.668,-59.082,-38.086,-45.898,0.000,0
38428.144,-43.457,-38.086,-48.828,-42.480,0.000,0
38428.147,-32.227,-13.672,-58.105,-35.156,0.000,0
38428.151,-19.043,-15.625,-44.434,-23.438,0.000,0
38428.155,-29.297,-18.066,-41.992,-20.020,0.000,0
38428.159,-31.738,-23.926,-48.340,-30.273,0.000,0
38428.163,-29.785,-30.273,-45.898,-41.016,0.000,0
38428.167,-32.227,-32.715,-46.387,-39.062,0.000,0
38428.171,-20.508,-27.832,-45.410,-20.020,0.000,0
38428.175,-33.203,-6.836,-49.316,-29.785,0.000,0
38428.179,-41.504,-6.836,-46.875,-50.293,0.000,0
38428.183,-29.785,6.348,-41.992,-33.203,0.000,0
38428.187,-36.621,20.508,-43.945,-25.391,0.000,0
38428.190,-30.762,8.789,-42.480,-41.016,0.000,0
38428.194,-27.344,-0.488,-43.457,-43.457,0.000,0
38428.198,-32.715,-20.020,-41.992,-41.992,0.000,0
38428.202,-11.719,-13.184,-41.504,-33.203,0.000,0
38428.206,-40.527,-13.184,-41.992,-35.156,0.000,0
38428.210,-54.199,-0.977,-39.062,-41.992,0.000,0
38428.214,-29.297,3.418,-36.133,-37.109,0.000,0
38428.218,-23.438,-30.273,-34.180,-37.109,0.000,0
38428.222,-26.367,-18.555,-39.062,-31.738,0.000,0
38428.226,-36.133,-5.859,-43.945,-23.438,0.000,0
38428.230,-33.203,-17.578,-37.598,-24.902,0.000,0
38428.233,-28.320,-11.230,-34.180,-25.391,0.000,0
38428.237,-29.297,-9.277,-33.203,-22.949,0.000,0
38428.241,-34.668,-13.672,-30.762,-25.391,0.000,0
38428.245,-39.551,-2.930,-30.762,-23.438,0.000,0
38428.249,-14.160,3.418,-29.297,-13.184,0.000,0
38428.253,-10.742,9.766,-27.832,-13.184,0.000,0
38428.257,-23.926,14.648,-24.414,-12.207,0.000,0
38428.261,-15.137,11.230,-20.020,-5.859,0.000,0
38428.265,-14.648,-1.953,-24.414,-23.438,0.000,0
38428.269,-14.160,-19.531,-27.344,-34.668,0.000,0
38428.272,-10.254,20.020,-25.879,-11.719,0.000,0
38428.276,-14.648,5.371,-21.484,0.977,0.000,0
38428.280,-21.973,4.395,-24.414,-15.137,0.000,0
38428.284,-19.531,9.766,-24.414,-19.043,0.000,0
38428.288,-21.973,-16.113,-21.973,-8.301,0.000,0
38428.292,-18.555,-13.672,-28.320,-7.812,0.000,0
38428.296,-13.672,-25.391,-23.926,-19.043,0.000,0
38428.300,-18.066,-40.039,-20.020,-25.391,0.000,0
38428.304,-15.625,-23.926,-19.043,-14.648,0.000,0
38428.308,-8.301,-16.602,-15.625,0.488,0.000,0
38428.312,-6.836,-17.578,-16.602,4.395,0.000,0
38428.315,-17.090,-24.902,-15.625,-11.719,0.000,0
38428.319,-10.742,-30.762,-12.207,-17.090,0.000,0
38428.323,-1.465,-15.137,-6.836,-3.906,0.000,0
38428.327,5.859,-13.672,-5.371,-6.836,0.000,0
38428.331,3.418,-22.949,-8.301,-16.602,0.000,0
38428.335,-7.812,-40.527,-7.812,-15.137,0.000,0
38428.339,-11.230,-45.898,-13.672,-13.672,0.000,0
38428.343,-13.184,-33.691,-19.043,-13.672,0.000,0
38428.347,-20.996,-38.086,-20.996,-8.789,0.000,0
38428.351,0.488,-39.062,-19.531,1.953,0.000,0
38428.355,-0.977,-35.156,-24.414,0.000,0.000,0
38428.358,-12.207,-40.039,-27.344,-12.207,0.000,0
38428.362,11.230,-26.855,-13.672,-3.906,0.000,0
38428.366,18.555,-15.625,-9.277,2.930,0.000,0
38428.370,-4.395,-21.973,-20.508,-15.137,0.000,0
38428.374,-5.859,1.465,-25.391,-11.719,0.000,0
38428.378,1.953,4.395,-17.578,-5.371,0.000,0
38428.382,-6.348,-7.324,-17.578,-2.930,0.000,0
38428.386,-1.465,-16.602,-19.531,-5.371,0.000,0
38428.390,3.418,-22.461,-22.949,-22.461,0.000,0
38428.394,-2.441,-39.551,-19.043,-19.531,0.000,0
38428.397,-18.066,-55.176,-13.184,-5.371,0.000,0
38428.401,-17.578,-25.879,-24.902,0.000,0.000,0
38428.405,-8.789,-26.367,-31.250,-0.977,0.000,0
38428.409,-18.066,-35.645,-23.926,-7.324,0.000,0
38428.413,-27.344,-43.457,-20.508,-12.207,0.000,0
38428.417,-17.090,-60.547,-15.137,-24.902,0.000,0
38428.421,-14.648,-46.387,-17.090,-16.113,0.000,0
38428.425,-27.832,-45.410,-17.578,-7.812,0.000,0
38428.429,-29.785,-39.062,-21.973,-17.090,0.000,0
38428.433,-26.855,-41.016,-26.367,-20.020,0.000,0
38428.437,-14.648,-67.871,-19.043,-10.254,0.000,0
38428.440,-20.508,-56.152,-23.438,-18.066,0.000,0
38428.444,-44.922,-34.180,-29.785,-28.809,0.000,0
38428.448,-33.691,-22.949,-25.879,-18.066,0.000,0
38428.452,-18.555,-41.504,-18.555,-20.508,0.000,0
38428.456,-19.043,-90.820,-7.324,-27.832,0.000,0
38428.460,-25.879,-70.312,-19.043,-34.180,0.000,0
38428.464,-24.414,-55.176,-28.809,-24.414,0.000,0
38428.468,-20.508,-76.172,-26.855,-10.742,0.000,0
38428.472,-18.066,-95.215,-19.531,-7.812,0.000,0
38428.476,-20.508,-80.078,-16.113,-12.695,0.000,0
38428.480,-31.738,-48.340,-22.461,-22.949,0.000,0
38428.483,-24.414,-40.039,-20.508,-21.484,0.000,0
38428.487,-13.672,-50.781,-8.301,-3.418,0.000,0
38428.491,-24.902,-38.574,-10.742,-16.602,0.000,0
38428.495,-33.203,-51.270,-18.066,-39.062,0.000,0
38428.499,-24.902,-61.035,-11.719,-17.578,0.000,0
38428.503,-13.672,-56.152,-10.742,-14.648,0.000,0
38428.507,-20.508,-44.434,-19.043,-29.785,0.000,0
38428.511,-20.020,-40.039,-23.438,-26.855,0.000,0
38428.515,-25.879,-64.453,-22.949,-35.645,0.000,0
38428.519,-53.223,-40.527,-27.832,-41.504,0.000,0
38428.522,-41.016,-20.508,-29.785,-32.227,0.000,0
38428.526,-34.180,-33.203,-24.902,-39.551,0.000,0
38428.530,-43.945,-35.156,-22.949,-40.039,0.000,0
38428.534,-39.062,-42.480,-19.531,-29.297,0.000,0
38428.538,-39.062,-44.434,-20.508,-27.344,0.000,0
38428.542,-37.109,-41.504,-30.273,-30.273,0.000,0
38428.546,-34.668,-50.293,-23.926,-33.203,0.000,0
38428.550,-23.926,-40.039,-21.484,-31.738,0.000,0
38428.554,-18.066,-38.086,-27.344,-33.691,0.000,0
38428.558,-29.297,-29.297,-25.879,-32.715,0.000,0
38428.562,-32.227,-13.672,-27.344,-30.762,0.000,0
38428.565,-38.574,-13.672,-28.809,-14.160,0.000,0
38428.569,-26.855,-13.184,-24.902,-6.836,0.000,0
38428.573,-32.715,-27.832,-18.555,-24.902,0.000,0
38428.577,-41.504,-0.488,-17.090,-12.207,0.000,0
38428.581,-20.020,29.785,-21.484,-9.277,0.000,0
38428.585,-18.555,25.879,-20.996,-20.996,0.000,0
38428.589,-31.738,22.461,-20.996,-6.348,0.000,0
38428.593,-21.973,0.488,-17.578,-6.348,0.000,0
38428.597,-17.090,12.695,-9.766,-26.367,0.000,0
38428.601,-18.555,41.992,-7.324,-19.043,0.000,0
38428.605,-15.137,25.391,-11.230,-7.812,0.000,0
38428.608,-6.836,4.883,-8.301,-8.789,0.000,0
38428.612,-8.301,0.488,-5.371,-15.625,0.000,0
38428.616,-18.555,1.465,-3.418,-17.578,0.000,0
38428.620,-13.184,4.395,0.488,-9.766,0.000,0
38428.624,-14.160,1.953,-2.930,-4.883,0.000,0
38428.628,-11.719,9.277,-2.930,-6.348,0.000,0
38428.632,-6.836,10.254,-1.953,-11.719,0.000,0
38428.636,-16.602,-10.254,7.324,-11.719,0.000,0
38428.640,-17.090,-6.836,4.883,4.883,0.000,0
38428.644,-8.301,2.441,-2.441,-0.488,0.000,0
38428.647,-10.254,-1.953,0.000,-13.672,0.000,0
38428.651,-6.836,-14.648,0.488,-2.441,0.000,0
38428.655,-7.812,-21.973,2.441,-0.977,0.000,0
38428.659,0.977,-1.465,-4.395,-8.301,0.000,0
38428.663,-3.418,10.742,-12.695,-2.441,0.000,0
