timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
27816.307,-97.656,-78.125,-166.504,-84.473,0.000,0
27816.311,-71.289,-56.641,-464.355,-39.551,0.000,0
27816.315,-85.938,-53.711,-362.305,-22.949,0.000,0
27816.318,-134.277,-101.074,136.230,-134.766,0.000,0
27816.322,-107.910,-99.609,146.484,-204.590,0.000,0
27816.326,-91.309,-66.406,-82.031,-124.023,0.000,0
27816.330,-125.000,-74.707,34.180,-74.707,0.000,0
27816.334,-100.098,-73.242,-47.852,-5.371,0.000,0
27816.338,-50.293,-86.914,-63.477,-100.098,0.000,0
27816.342,-62.500,-84.473,38.574,-155.762,0.000,0
27816.346,-51.758,-56.641,-243.652,-25.391,0.000,0
27816.350,-47.363,-76.660,-145.020,-48.340,0.000,0
27816.354,-20.996,-70.312,-97.168,-44.922,0.000,0
27816.358,-33.691,-76.172,49.316,-97.656,0.000,0
27816.361,-86.914,-78.125,214.355,-206.055,0.000,0
27816.365,-43.457,-50.781,41.992,-126.953,0.000,0
27816.369,-17.090,-51.758,-20.508,-34.668,0.000,0
27816.373,-62.012,-52.734,-55.664,3.418,0.000,0
27816.377,-101.562,-58.105,121.582,-44.922,0.000,0
27816.381,-73.242,-70.801,106.445,-91.797,0.000,0
27816.385,-2.441,-52.246,-216.309,-14.648,0.000,0
27816.389,-29.785,-45.898,-35.645,-14.648,0.000,0
27816.393,-47.852,-39.551,-38.086,-26.855,0.000,0
27816.397,-28.320,-48.828,-109.375,-46.875,0.000,0
27816.400,-32.715,-70.312,98.633,-153.320,0.000,0
27816.404,-39.062,-41.016,63.477,-93.262,0.000,0
27816.408,-47.363,-33.691,116.699,-45.898,0.000,0
27816.412,13.672,-5.371,-256.836,-2.441,0.000,0
27816.416,20.996,-6.836,-327.148,59.570,0.000,0
27816.420,-60.547,-49.316,243.164,-68.359,0.000,0
27816.424,-38.086,-17.090,152.344,-86.426,0.000,0
27816.428,-2.441,14.160,-43.945,-20.020,0.000,0
27816.432,21.973,9.766,-144.531,36.621,0.000,0
27816.436,-36.621,-19.043,24.414,70.801,0.000,0
27816.440,-62.012,-43.945,140.137,-59.570,0.000,0
27816.443,29.297,-7.812,-214.355,-11.719,0.000,0
27816.447,24.414,2.441,-227.539,96.191,0.000,0
27816.451,-9.766,-27.832,-94.238,42.480,0.000,0
27816.455,-26.367,-40.039,-37.109,28.320,0.000,0
27816.459,-17.090,-35.645,-11.230,-42.480,0.000,0
27816.463,-13.672,-27.832,-56.152,-78.613,0.000,0
27816.467,-56.641,-34.180,103.027,-41.016,0.000,0
27816.471,-36.133,-29.785,6.348,29.785,0.000,0
27816.475,-1.465,-28.809,-205.566,62.500,0.000,0
27816.479,-66.406,-56.152,2.930,-71.289,0.000,0
27816.483,-85.938,-47.852,75.195,-42.969,0.000,0
27816.486,-13.184,-11.719,-82.031,67.383,0.000,0
27816.490,30.273,-3.418,-232.422,43.945,0.000,0
27816.494,-4.395,-9.277,-140.137,40.527,0.000,0
27816.498,-44.922,-35.156,189.941,-49.316,0.000,0
27816.502,-2.441,-40.527,85.449,-110.840,0.000,0
27816.506,6.836,-19.531,-33.203,-13.672,0.000,0
27816.510,-38.574,-32.227,103.027,-30.762,0.000,0
27816.514,-43.945,-30.762,137.207,-31.250,0.000,0
27816.518,-9.766,-9.277,139.160,-5.859,0.000,0
27816.522,28.809,4.883,-2.930,17.090,0.000,0
27816.525,-0.488,16.113,-51.758,82.031,0.000,0
27816.529,-25.879,0.488,23.926,34.180,0.000,0
27816.533,44.922,-5.371,-173.828,38.574,0.000,0
27816.537,5.859,-33.691,90.820,-65.918,0.000,0
27816.541,-17.090,-28.320,56.152,-111.328,0.000,0
27816.545,19.531,-1.465,-322.754,0.977,0.000,0
