timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
215960.930,25.879,33.691,48.340,49.805,42.480,1
215960.934,22.949,34.668,39.551,25.879,28.809,0
215960.938,26.367,31.250,38.574,26.855,26.367,0
215960.942,27.344,27.344,26.367,35.156,52.246,0
215960.945,24.414,23.926,16.602,30.273,25.879,0
215960.949,21.484,26.367,28.320,20.020,-6.836,0
215960.953,21.484,28.809,31.738,17.090,14.648,0
215960.957,23.926,31.250,27.832,24.902,41.504,0
215960.961,22.461,21.484,30.762,21.973,50.293,0
215960.965,32.227,20.508,33.691,31.738,19.043,0
215960.969,50.781,33.691,31.250,57.617,0.488,0
215960.973,56.641,36.133,34.668,60.547,32.715,0
215960.977,39.551,28.809,31.250,37.109,36.621,0
215960.981,23.438,22.949,32.715,10.254,14.648,0
215960.985,25.391,25.391,34.668,15.137,47.363,0
215960.988,31.738,34.180,28.809,29.785,63.477,0
215960.992,34.668,30.273,35.156,21.484,20.996,0
215960.996,26.367,23.438,39.062,9.277,-4.395,0
215961.000,32.227,30.273,35.645,25.391,3.418,0
215961.004,44.922,29.785,36.621,41.992,14.648,0
215961.008,36.621,25.391,38.574,28.809,0.488,0
215961.012,37.109,28.320,48.340,22.949,-25.879,0
215961.016,41.016,24.902,48.828,36.133,-21.973,0
215961.020,34.668,20.996,30.762,39.062,11.230,0
215961.024,36.133,29.297,24.902,55.176,-9.277,0
215961.027,40.039,38.086,34.668,51.270,-40.039,0
215961.031,30.762,32.715,36.133,24.414,7.812,0
215961.035,28.320,29.297,39.551,20.996,48.340,0
215961.039,32.715,30.273,43.945,20.508,36.133,0
215961.043,32.715,24.414,37.109,22.461,15.137,0
215961.047,30.273,19.531,29.297,25.391,40.527,0
215961.051,32.715,24.414,34.668,28.809,74.219,0
215961.055,33.203,31.738,31.738,19.043,41.016,0
215961.059,26.367,35.645,30.762,17.090,-1.465,0
215961.063,28.809,31.738,46.387,36.133,31.738,0
215961.067,36.133,28.320,45.898,40.039,53.223,0
215961.070,35.156,29.297,28.809,38.574,25.391,0
215961.074,36.133,30.762,30.762,46.387,29.297,0
215961.078,40.039,28.320,44.922,52.734,77.148,0
215961.082,43.945,21.973,39.551,43.945,77.637,0
215961.086,29.785,22.461,31.738,33.203,61.523,0
215961.090,20.020,24.902,35.645,33.203,84.473,0
215961.094,31.250,20.020,42.969,23.926,76.660,0
215961.098,36.133,20.996,41.992,18.555,44.922,0
215961.102,30.762,25.391,41.504,22.461,-20.996,0
215961.106,24.902,26.367,41.016,24.902,-26.855,0
215961.110,26.855,21.973,34.668,32.227,16.602,0
215961.113,28.809,20.996,34.180,34.668,12.207,0
215961.117,30.273,19.043,37.109,26.855,-10.254,0
215961.121,29.297,22.461,41.504,25.391,2.930,0
215961.125,22.461,28.809,43.945,33.203,20.020,0
215961.129,19.043,30.273,41.016,36.621,22.461,0
215961.133,20.996,31.738,28.320,38.574,12.207,0
215961.137,22.949,31.250,23.438,38.086,-11.719,0
215961.141,28.809,27.832,34.668,41.504,15.137,0
215961.145,30.762,23.438,39.551,28.320,-4.883,0
215961.149,34.180,26.367,37.598,21.973,-71.777,0
215961.152,48.340,29.297,28.809,33.691,-62.500,0
215961.156,43.457,27.832,34.180,29.785,16.113,0
215961.160,29.785,25.391,47.363,31.250,11.719,0
215961.164,30.273,25.391,48.340,29.297,-16.602,0
215961.168,31.250,21.973,42.480,29.785,-7.812,0
215961.172,31.738,24.414,34.668,27.344,-21.973,0
215961.176,27.344,29.785,25.879,22.949,-4.883,0
215961.180,23.926,28.320,20.996,16.113,-5.371,0
215961.184,32.227,25.879,28.809,25.391,9.277,0
215961.188,35.645,27.344,31.250,39.551,6.348,0
215961.192,33.203,34.180,34.180,23.926,-26.855,0
215961.195,35.156,38.574,36.621,24.414,9.766,0
215961.199,35.645,36.133,27.832,38.574,26.855,0
215961.203,33.203,30.273,30.762,32.715,27.832,0
215961.207,36.621,28.320,33.203,37.109,50.781,0
215961.211,38.086,29.785,32.715,30.273,32.715,0
215961.215,34.668,36.621,33.691,26.855,46.387,0
215961.219,38.574,33.203,27.344,36.621,52.734,0
215961.223,38.574,24.902,24.902,38.574,19.043,0
215961.227,29.785,33.203,26.855,33.203,15.137,0
215961.231,39.551,33.691,34.180,30.273,20.996,0
215961.235,42.480,26.855,39.062,31.250,43.945,0
215961.238,28.809,28.320,38.086,14.648,41.992,0
215961.242,26.855,25.879,41.992,17.090,56.152,0
215961.246,34.180,24.414,36.621,34.180,79.102,0
215961.250,42.969,32.227,24.902,38.086,10.254,0
215961.254,44.922,34.668,30.273,29.297,32.227,0
215961.258,41.992,32.715,41.016,29.785,46.387,0
215961.262,43.457,38.086,38.574,38.574,37.598,0
215961.266,46.875,40.039,29.297,36.621,67.871,0
215961.270,41.504,31.738,23.438,31.250,40.039,0
215961.274,39.062,28.320,25.391,29.785,22.461,0
215961.277,43.457,28.320,18.555,37.598,71.289,0
215961.281,42.480,31.250,16.602,29.785,55.664,0
215961.285,43.457,36.133,35.645,24.902,48.828,0
215961.289,46.875,35.156,42.969,43.457,50.293,0
