timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
191083.895,27.344,32.227,40.039,23.926,-20.020,0
191083.899,29.785,24.902,42.480,48.828,44.922,0
191083.903,32.715,26.367,35.156,53.223,41.504,0
191083.907,22.949,33.691,31.738,25.391,-28.809,0
191083.911,16.113,36.133,40.527,19.531,-40.527,0
191083.914,21.973,37.109,50.293,45.898,3.906,0
191083.918,32.715,29.785,42.480,49.316,4.395,0
191083.922,24.902,25.879,36.621,20.996,-19.531,0
191083.926,8.301,29.785,36.621,11.719,-16.113,0
191083.930,2.930,27.832,31.250,19.043,-29.785,0
191083.934,10.742,24.414,34.668,37.598,13.184,0
191083.938,15.625,26.855,29.297,26.367,43.457,0
191083.942,15.137,35.645,25.391,6.836,3.418,0
191083.946,12.207,26.855,31.738,14.160,-6.348,0
191083.950,21.973,19.043,31.250,39.062,49.805,0
191083.954,27.832,23.926,27.344,41.016,114.258,0
191083.957,17.578,21.484,29.785,13.184,38.086,0
191083.961,14.160,23.438,26.367,11.719,-39.062,0
191083.965,20.020,34.180,12.695,27.344,13.672,0
191083.969,19.531,30.762,20.508,32.227,81.543,0
191083.973,18.066,31.738,46.875,17.578,60.059,0
191083.977,16.113,32.715,48.340,12.695,9.766,0
191083.981,13.672,20.508,42.969,27.832,41.016,0
191083.985,22.461,24.414,41.016,49.316,78.613,0
191083.989,24.414,40.527,34.668,33.691,35.645,0
191083.993,12.695,35.645,31.738,2.930,-24.414,0
191083.997,2.930,19.043,33.203,19.043,-3.418,0
191084.000,7.324,11.719,29.297,41.504,88.379,0
191084.004,16.602,22.461,22.461,26.855,82.031,0
191084.008,17.090,32.227,27.832,8.301,-9.277,0
191084.012,9.766,33.203,35.645,8.301,-24.414,0
191084.016,15.137,32.227,38.086,36.621,48.340,0
191084.020,22.949,30.762,33.691,42.969,89.844,0
191084.024,20.020,34.668,32.227,15.137,-20.508,0
191084.028,13.184,33.203,29.785,10.254,-46.875,0
191084.032,12.207,24.902,29.297,37.109,39.062,0
191084.036,27.832,29.297,37.109,47.363,33.203,0
191084.039,27.344,33.691,33.203,16.602,-2.441,0
191084.043,12.207,29.785,26.855,1.953,-30.273,0
191084.047,9.766,23.438,31.250,24.414,-6.348,0
191084.051,16.602,15.625,33.691,38.574,31.250,0
191084.055,18.555,19.531,28.809,8.301,5.859,0
191084.059,23.438,27.344,16.602,-1.465,-25.879,0
191084.063,18.066,25.391,12.695,18.555,12.207,0
191084.067,15.137,23.438,18.555,26.367,72.754,0
191084.071,15.137,26.367,27.344,3.906,20.020,0
191084.075,4.883,27.832,43.945,-15.137,-26.367,0
191084.079,-1.953,28.809,41.992,-7.812,-22.461,0
